"","SPCD","State","PLOT","lat","lon","minAVP","Common","Species"
"102","742","MI",418,46.4970735308642,-88.304771382716,205.964885916601,"eastern cottonwood","Populus deltoides"
"103","763","MI",9081,46.344447,-89.642393,197.568544453186,"chokecherry","Prunus virginiana"
"104","766","MI",3,44.3742591376812,-85.5982131594203,299.23845790716,"American plum","Prunus americana"
"105","823","MI",9060,46.198567,-88.86327025,199.246089693155,"bur oak","Quercus macrocarpa"
"106","920","MI",235,46.1088033896104,-87.0449578722944,250.793099921322,"willow spp.","Salix spp."
"107","921","MI",9094,46.330632,-89.42198,199.017442958301,"peachleaf willow","Salix amygdaloides"
"108","951","MI",9146,46.265511,-89.669471,193.78897718332,"American basswood","Tilia americana"
"109","972","MI",9075,46.355396,-89.779618,195.608890637293,"American elm","Ulmus americana"
"110","975","MI",130,45.504763943662,-87.5632237183099,249.732777340677,"slippery elm","Ulmus rubra"
"111","68","KS",219,39.648555,-99.728856,267.48742070167,"eastern redcedar","Juniperus virginiana"
"112","122","KS",241,39.2664458344828,-97.5493087310345,362.735963808025,"ponderosa pine","Pinus ponderosa"
"113","313","KS",214,39.448526556701,-99.5316465154639,285.548332031719,"boxelder maple","Acer negundo"
"114","462","KS",258,39.6333343783784,-99.849435027027,268.797947554968,"hackberry","Celtis occidentalis"
"115","544","KS",219,39.648555,-99.728856,267.48742070167,"green ash","Fraxinus pennsylvanica"
"116","602","KS",258,39.6333343783784,-99.849435027027,268.797947554968,"black walnut","Juglans nigra"
"117","701","KS",213,39.5170935656566,-97.7215878888889,348.613099921322,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",219,39.648555,-99.728856,267.48742070167,"eastern cottonwood","Populus deltoides"
"119","763","KS",539,39.944019,-96.980901,334.740055074744,"chokecherry","Prunus virginiana"
"120","766","KS",515,39.975632,-96.661119,331.571573564123,"American plum","Prunus americana"
"121","823","KS",242,39.7534856352941,-98.2124449294118,316.838025177026,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,398.647340676633,"willow spp.","Salix spp."
"123","921","KS",258,39.6333343783784,-99.849435027027,268.797947554968,"peachleaf willow","Salix amygdaloides"
"124","951","KS",213,39.5170935656566,-97.7215878888889,348.613099921322,"American basswood","Tilia americana"
"125","972","KS",219,39.648555,-99.728856,267.48742070167,"American elm","Ulmus americana"
"126","975","KS",258,39.6333343783784,-99.849435027027,268.797947554968,"slippery elm","Ulmus rubra"
"127","68","IN",20,40.834957549763,-85.9046619194313,367.15321007081,"eastern redcedar","Juniperus virginiana"
"128","313","IN",199,41.109007,-85.797299,360.412667191188,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,431.454295830055,"paper birch","Betula papyrifera"
"130","462","IN",251,41.184175,-85.859711,362.403005507474,"hackberry","Celtis occidentalis"
"131","544","IN",252,41.190936952381,-85.9588390952381,362.690409126672,"green ash","Fraxinus pennsylvanica"
"132","602","IN",252,41.190936952381,-85.9588390952381,362.690409126672,"black walnut","Juglans nigra"
"133","701","IN",257,41.063023,-85.946103,361.213650668765,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",252,41.190936952381,-85.9588390952381,362.690409126672,"eastern cottonwood","Populus deltoides"
"135","763","IN",255,41.631125,-86.921813,371.571982690795,"chokecherry","Prunus virginiana"
"136","766","IN",20,40.834957549763,-85.9046619194313,367.15321007081,"American plum","Prunus americana"
"137","823","IN",197,41.005895,-87.26851,353.995948072384,"bur oak","Quercus macrocarpa"
"138","920","IN",48,40.1780519139785,-86.0055538924731,385.478198269079,"willow spp.","Salix spp."
"139","951","IN",195,41.207229,-85.70198,360.627128245476,"American basswood","Tilia americana"
"140","972","IN",199,41.109007,-85.797299,360.412667191188,"American elm","Ulmus americana"
"141","975","IN",252,41.190936952381,-85.9588390952381,362.690409126672,"slippery elm","Ulmus rubra"
"142","68","IL",30,41.2714080372671,-90.2013173664596,326.860283241542,"eastern redcedar","Juniperus virginiana"
"143","313","IL",78,41.7943362604167,-88.6776619270833,316.115035405193,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,387.268450039339,"paper birch","Betula papyrifera"
"145","462","IL",30,41.2714080372671,-90.2013173664596,326.860283241542,"hackberry","Celtis occidentalis"
"146","544","IL",78,41.7943362604167,-88.6776619270833,316.115035405193,"green ash","Fraxinus pennsylvanica"
"147","602","IL",78,41.7943362604167,-88.6776619270833,316.115035405193,"black walnut","Juglans nigra"
"148","701","IL",30,41.2714080372671,-90.2013173664596,326.860283241542,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",78,41.7943362604167,-88.6776619270833,316.115035405193,"eastern cottonwood","Populus deltoides"
"150","763","IL",24,40.7608166758621,-89.6126217172414,340.417993705744,"chokecherry","Prunus virginiana"
"151","766","IL",63,40.987505961165,-89.9053471359223,336.680582218725,"American plum","Prunus americana"
"152","823","IL",78,41.7943362604167,-88.6776619270833,316.115035405193,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,397.810401258851,"peachleaf willow","Salix amygdaloides"
"154","951","IL",154,40.8835121168831,-89.7780707662338,337.563603461841,"American basswood","Tilia americana"
"155","972","IL",78,41.7943362604167,-88.6776619270833,316.115035405193,"American elm","Ulmus americana"
"156","975","IL",30,41.2714080372671,-90.2013173664596,326.860283241542,"slippery elm","Ulmus rubra"
"157","68","IA",216,42.8946333454545,-91.6186547939394,253.987002360346,"eastern redcedar","Juniperus virginiana"
"158","122","IA",141,41.9366222212389,-92.9634374424779,279.930424862313,"ponderosa pine","Pinus ponderosa"
"159","313","IA",41,43.13594376,-92.49548144,248.555995279308,"boxelder maple","Acer negundo"
"160","375","IA",65,42.467335,-93.112943,262.817088906373,"paper birch","Betula papyrifera"
"161","462","IA",216,42.8946333454545,-91.6186547939394,253.987002360346,"hackberry","Celtis occidentalis"
"162","544","IA",221,43.0251936666667,-94.5819362777778,248.598245476003,"green ash","Fraxinus pennsylvanica"
"163","602","IA",122,42.953098,-95.008246,247.00627852085,"black walnut","Juglans nigra"
"164","701","IA",216,42.8946333454545,-91.6186547939394,253.987002360346,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",221,43.0251936666667,-94.5819362777778,248.598245476003,"eastern cottonwood","Populus deltoides"
"166","763","IA",135,42.4856529347826,-91.6880630652174,265.809346970889,"chokecherry","Prunus virginiana"
"167","766","IA",41,43.13594376,-92.49548144,248.555995279308,"American plum","Prunus americana"
"168","823","IA",122,42.953098,-95.008246,247.00627852085,"bur oak","Quercus macrocarpa"
"169","920","IA",202,42.21152796997,-92.479916984985,274.475578284815,"willow spp.","Salix spp."
"170","921","IA",229,41.421913,-95.642271,296.409315499607,"peachleaf willow","Salix amygdaloides"
"171","951","IA",216,42.8946333454545,-91.6186547939394,253.987002360346,"American basswood","Tilia americana"
"172","972","IA",122,42.953098,-95.008246,247.00627852085,"American elm","Ulmus americana"
"173","975","IA",122,42.953098,-95.008246,247.00627852085,"slippery elm","Ulmus rubra"
"174","68","MN",212,46.8311465488216,-94.9872287239057,172.215271439811,"eastern redcedar","Juniperus virginiana"
"175","313","MN",9068,47.9746134090909,-90.9580890454545,152.660723839496,"boxelder maple","Acer negundo"
"176","375","MN",1482,47.9881877070707,-90.537319010101,141.100826121164,"paper birch","Betula papyrifera"
"177","462","MN",1536,48.029304,-95.217647,158.43204563336,"hackberry","Celtis occidentalis"
"178","544","MN",1482,47.9881877070707,-90.537319010101,141.100826121164,"green ash","Fraxinus pennsylvanica"
"179","602","MN",212,46.8311465488216,-94.9872287239057,172.215271439811,"black walnut","Juglans nigra"
"180","701","MN",700,48.042788,-94.824786,156.37435877262,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",1092,47.2060765862069,-94.4337149655172,169.924193548387,"eastern cottonwood","Populus deltoides"
"182","763","MN",1167,47.9198355294118,-90.6495669803922,152.336073957514,"chokecherry","Prunus virginiana"
"183","766","MN",194,46.2533918021978,-95.4613531978022,182.553524783635,"American plum","Prunus americana"
"184","823","MN",1156,47.8045990384615,-92.3044590192308,153.82359559402,"bur oak","Quercus macrocarpa"
"185","920","MN",1565,48.314123,-95.237002,154.14243902439,"willow spp.","Salix spp."
"186","921","MN",9108,48.057723,-90.401552,152.312501966955,"peachleaf willow","Salix amygdaloides"
"187","951","MN",9041,48.0848982727273,-90.2674892597403,153.596309992132,"American basswood","Tilia americana"
"188","972","MN",9002,48.1812694482759,-91.1186755862069,148.348890637293,"American elm","Ulmus americana"
"189","975","MN",146,47.8046225737705,-95.0514949672131,157.999441384736,"slippery elm","Ulmus rubra"
