"","SPCD","State","PLOT","lat","lon","maxRain","Common","Species"
"159","313","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"boxelder maple","Acer negundo"
"160","375","IA",11,41.9027715663717,-93.4899894513274,147.519024390244,"paper birch","Betula papyrifera"
"161","462","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"hackberry","Celtis occidentalis"
"162","544","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"green ash","Fraxinus pennsylvanica"
"163","602","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"black walnut","Juglans nigra"
"164","701","IA",60,42.5174989140625,-93.35315634375,149.117317073171,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",37,42.4895572922636,-93.4687533982808,148.054390243902,"eastern cottonwood","Populus deltoides"
"166","763","IA",170,42.3280622222222,-93.6817002222222,147.14243902439,"chokecherry","Prunus virginiana"
"167","766","IA",124,42.7164247878788,-92.2015069393939,147.381463414634,"American plum","Prunus americana"
"168","823","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"bur oak","Quercus macrocarpa"
"169","920","IA",202,42.21152796997,-92.479916984985,142.414146341463,"willow spp.","Salix spp."
"170","921","IA",55,41.1077365652174,-95.3741713913044,140.050487804878,"peachleaf willow","Salix amygdaloides"
"171","951","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"American basswood","Tilia americana"
"172","972","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"American elm","Ulmus americana"
"173","975","IA",44,42.3204985548387,-93.4883842225806,152.596097560976,"slippery elm","Ulmus rubra"
"174","68","MN",274,43.742865,-91.422912,140.390731707317,"eastern redcedar","Juniperus virginiana"
"175","313","MN",391,43.513442,-91.814739,146.380975609756,"boxelder maple","Acer negundo"
"176","375","MN",297,43.575319,-91.417461,143.374146341463,"paper birch","Betula papyrifera"
"177","462","MN",391,43.513442,-91.814739,146.380975609756,"hackberry","Celtis occidentalis"
"178","544","MN",82,43.7528008467153,-91.7853348394161,141.73,"green ash","Fraxinus pennsylvanica"
"179","602","MN",391,43.513442,-91.814739,146.380975609756,"black walnut","Juglans nigra"
"180","701","MN",285,43.6304,-91.735444,142.27243902439,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",297,43.575319,-91.417461,143.374146341463,"eastern cottonwood","Populus deltoides"
"182","763","MN",92,43.793281,-91.844039,137.504390243902,"chokecherry","Prunus virginiana"
"183","766","MN",304,43.749731,-91.449614,134.799756097561,"American plum","Prunus americana"
"184","823","MN",297,43.575319,-91.417461,143.374146341463,"bur oak","Quercus macrocarpa"
"185","920","MN",422,44.6437751142857,-94.3163423428571,135.488536585366,"willow spp.","Salix spp."
"186","921","MN",303,44.3606304022989,-94.0970004712644,141.179268292683,"peachleaf willow","Salix amygdaloides"
"187","951","MN",391,43.513442,-91.814739,146.380975609756,"American basswood","Tilia americana"
"188","972","MN",391,43.513442,-91.814739,146.380975609756,"American elm","Ulmus americana"
"189","975","MN",391,43.513442,-91.814739,146.380975609756,"slippery elm","Ulmus rubra"
