"","SPCD","State","PLOT","maxAWS","geometry","Common","Species"
"94","701","KS",213,403.539978027344,c(-97.7215878888889, 39.5170935656566),"ironwood","Ostrya virginiana"
"95","742","KS",241,415.285003662109,c(-97.5493087310345, 39.2664458344828),"east. cottonwood","Populus deltoides"
"96","763","KS",539,315.77001953125,c(-96.980901, 39.944019),"chokecherry","Prunus virginiana"
"97","766","KS",265,356.195007324219,c(-97.9976772123894, 39.2948096814159),"American plum","Prunus americana"
"98","823","KS",241,415.285003662109,c(-97.5493087310345, 39.2664458344828),"bur oak","Quercus macrocarpa"
"99","920","KS",305,117.014999389648,c(-96.7380723333333, 37.49977),"willow spp.","Salix spp."
"100","921","KS",258,413.397491455078,c(-99.849435027027, 39.6333343783784),"peachleaf willow","Salix amygdaloides"
"101","951","KS",213,403.539978027344,c(-97.7215878888889, 39.5170935656566),"basswood","Tilia americana"
"102","972","KS",241,415.285003662109,c(-97.5493087310345, 39.2664458344828),"American elm","Ulmus americana"
"103","975","KS",258,413.397491455078,c(-99.849435027027, 39.6333343783784),"slippery elm","Ulmus rubra"
"104","68","IN",123,290.25,c(-86.4427842857143, 40.4730211428571),"eastern redcedar","Juniperus virginiana"
"105","313","IN",142,334,c(-86.8885970212766, 40.1790884680851),"boxelder","Acer negundo"
"106","375","IN",221,81.25,c(-86.3852737666667, 38.9903329166667),"paper birch","Betula papyrifera"
"107","462","IN",142,334,c(-86.8885970212766, 40.1790884680851),"hackberry","Celtis occidentalis"
"108","544","IN",142,334,c(-86.8885970212766, 40.1790884680851),"green ash","Fraxinus pennsylvanica"
"109","602","IN",142,334,c(-86.8885970212766, 40.1790884680851),"black walnut","Juglans nigra"
"110","701","IN",20,268.75,c(-85.9046619194313, 40.834957549763),"ironwood","Ostrya virginiana"
"111","701","IN",51,268.75,c(-86.3199869694657, 40.6900817557252),"ironwood","Ostrya virginiana"
"112","742","IN",109,286.5,c(-86.7312095096154, 39.5045879038462),"east. cottonwood","Populus deltoides"
"113","763","IN",8,249,c(-86.4322396351351, 40.0988395608108),"chokecherry","Prunus virginiana"
"114","766","IN",20,268.75,c(-85.9046619194313, 40.834957549763),"American plum","Prunus americana"
"115","823","IN",109,286.5,c(-86.7312095096154, 39.5045879038462),"bur oak","Quercus macrocarpa"
"116","920","IN",228,236.5,c(-85.57507265625, 39.2956270520833),"willow spp.","Salix spp."
"117","951","IN",184,298,c(-86.1875111052632, 38.7869772631579),"basswood","Tilia americana"
"118","972","IN",142,334,c(-86.8885970212766, 40.1790884680851),"American elm","Ulmus americana"
"119","975","IN",142,334,c(-86.8885970212766, 40.1790884680851),"slippery elm","Ulmus rubra"
"120","68","IL",2,409.089996337891,c(-90.1722710126316, 40.7847319831579),"eastern redcedar","Juniperus virginiana"
"121","313","IL",104,414.804992675781,c(-89.51324692, 38.577246256),"boxelder","Acer negundo"
"122","375","IL",51,293.079986572266,c(-89.7626121512195, 39.8494546731707),"paper birch","Betula papyrifera"
"123","462","IL",104,414.804992675781,c(-89.51324692, 38.577246256),"hackberry","Celtis occidentalis"
"124","544","IL",104,414.804992675781,c(-89.51324692, 38.577246256),"green ash","Fraxinus pennsylvanica"
"125","602","IL",2,409.089996337891,c(-90.1722710126316, 40.7847319831579),"black walnut","Juglans nigra"
"126","701","IL",2,409.089996337891,c(-90.1722710126316, 40.7847319831579),"ironwood","Ostrya virginiana"
"127","742","IL",2,409.089996337891,c(-90.1722710126316, 40.7847319831579),"east. cottonwood","Populus deltoides"
"128","763","IL",27,313.175018310547,c(-89.338283544, 38.910987696),"chokecherry","Prunus virginiana"
"129","766","IL",46,333.557495117188,c(-89.9100688715084, 39.8728601173184),"American plum","Prunus americana"
"130","823","IL",2,409.089996337891,c(-90.1722710126316, 40.7847319831579),"bur oak","Quercus macrocarpa"
"131","921","IL",203,295.945007324219,c(-89.5053599840256, 39.6076065207668),"peachleaf willow","Salix amygdaloides"
"132","951","IL",2,409.089996337891,c(-90.1722710126316, 40.7847319831579),"basswood","Tilia americana"
"133","972","IL",104,414.804992675781,c(-89.51324692, 38.577246256),"American elm","Ulmus americana"
"134","975","IL",2,409.089996337891,c(-90.1722710126316, 40.7847319831579),"slippery elm","Ulmus rubra"
"135","766","MN",353,353.902496337891,c(-94.3772149411765, 44.9357852941177),"American plum","Prunus americana"
