"","SPCD","State","PLOT","lat","lon","minASR","Common","Species"
"98","462","MI",216,45.0253119949239,-85.6186556954315,124.856959087333,"hackberry","Celtis occidentalis"
"99","544","MI",182,47.012075,-87.6422393095238,120.168398373984,"green ash","Fraxinus pennsylvanica"
"100","602","MI",69,45.0075582910959,-85.8897954075343,123.145697351167,"black walnut","Juglans nigra"
"101","701","MI",354,47.2549271666667,-88.59147775,120.120050878573,"eastern hophornbeam","Ostrya virginiana"
"102","742","MI",122,44.9471143883929,-85.8822556428571,122.942659323367,"eastern cottonwood","Populus deltoides"
"103","763","MI",159,45.1270631203704,-85.760564787037,122.915831628639,"chokecherry","Prunus virginiana"
"104","766","MI",13,44.4925107546468,-85.9549141895911,131.786478363493,"American plum","Prunus americana"
"105","823","MI",143,45.1256133461538,-85.8164255865385,122.709227117755,"bur oak","Quercus macrocarpa"
"106","920","MI",109,45.011533877907,-86.1345422616279,126.336241017571,"willow spp.","Salix spp."
"107","921","MI",342,46.9542408571429,-89.0460252857143,122.033586677157,"peachleaf willow","Salix amygdaloides"
"108","951","MI",367,46.9594525686274,-89.1879664313725,121.267077891424,"American basswood","Tilia americana"
"109","972","MI",182,47.012075,-87.6422393095238,120.168398373984,"American elm","Ulmus americana"
"110","975","MI",122,44.9471143883929,-85.8822556428571,122.942659323367,"slippery elm","Ulmus rubra"
"111","68","KS",300,39.4994904848485,-95.1193087575758,192.62071387359,"eastern redcedar","Juniperus virginiana"
"112","122","KS",241,39.2664458344828,-97.5493087310345,199.727296092316,"ponderosa pine","Pinus ponderosa"
"113","313","KS",300,39.4994904848485,-95.1193087575758,192.62071387359,"boxelder maple","Acer negundo"
"114","462","KS",515,39.975632,-96.661119,191.627779701023,"hackberry","Celtis occidentalis"
"115","544","KS",515,39.975632,-96.661119,191.627779701023,"green ash","Fraxinus pennsylvanica"
"116","602","KS",515,39.975632,-96.661119,191.627779701023,"black walnut","Juglans nigra"
"117","701","KS",251,39.1045739148936,-95.472413,195.85599632835,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",434,39.913617,-96.236458,192.048068450039,"eastern cottonwood","Populus deltoides"
"119","763","KS",539,39.944019,-96.980901,191.644702858641,"chokecherry","Prunus virginiana"
"120","766","KS",515,39.975632,-96.661119,191.627779701023,"American plum","Prunus americana"
"121","823","KS",485,39.858067,-96.65061,192.949055337005,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,211.957452661946,"willow spp.","Salix spp."
"123","921","KS",502,39.5054027883212,-96.5555891824818,197.293111460792,"peachleaf willow","Salix amygdaloides"
"124","951","KS",438,39.525272,-96.170884,195.244899291896,"American basswood","Tilia americana"
"125","972","KS",539,39.944019,-96.980901,191.644702858641,"American elm","Ulmus americana"
"126","975","KS",300,39.4994904848485,-95.1193087575758,192.62071387359,"slippery elm","Ulmus rubra"
"127","68","IN",128,40.86426195,-85.91100355,166.740847102019,"eastern redcedar","Juniperus virginiana"
"128","313","IN",246,41.142717,-85.803979,166.491757933386,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,181.521132966168,"paper birch","Betula papyrifera"
"130","462","IN",271,41.155912,-85.253919,165.296906635195,"hackberry","Celtis occidentalis"
"131","544","IN",255,41.631125,-86.921813,163.575109362707,"green ash","Fraxinus pennsylvanica"
"132","602","IN",198,41.707758,-86.700244,158.903574088644,"black walnut","Juglans nigra"
"133","701","IN",250,41.043146,-85.994654,166.228769997377,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",198,41.707758,-86.700244,158.903574088644,"eastern cottonwood","Populus deltoides"
"135","763","IN",255,41.631125,-86.921813,163.575109362707,"chokecherry","Prunus virginiana"
"136","766","IN",20,40.834957549763,-85.9046619194313,166.971569105691,"American plum","Prunus americana"
"137","823","IN",193,40.925077,-85.102348,166.521982166273,"bur oak","Quercus macrocarpa"
"138","920","IN",48,40.1780519139785,-86.0055538924731,172.360732494099,"willow spp.","Salix spp."
"139","951","IN",198,41.707758,-86.700244,158.903574088644,"American basswood","Tilia americana"
"140","972","IN",198,41.707758,-86.700244,158.903574088644,"American elm","Ulmus americana"
"141","975","IN",144,40.6765037076923,-85.8820025384615,166.835959349594,"slippery elm","Ulmus rubra"
"142","68","IL",166,41.2883294,-88.1464824,167.82857644899,"eastern redcedar","Juniperus virginiana"
"143","313","IL",156,41.596169,-87.766728,167.381705743509,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,180.518523734592,"paper birch","Betula papyrifera"
"145","462","IL",153,41.275211,-89.441853,168.784414896407,"hackberry","Celtis occidentalis"
"146","544","IL",124,41.723558,-87.881037,166.793745344873,"green ash","Fraxinus pennsylvanica"
"147","602","IL",181,41.480739,-87.662797,166.851128245476,"black walnut","Juglans nigra"
"148","701","IL",153,41.275211,-89.441853,168.784414896407,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",170,41.528285,-87.743059,167.354814581694,"eastern cottonwood","Populus deltoides"
"150","763","IL",24,40.7608166758621,-89.6126217172414,175.679285339628,"chokecherry","Prunus virginiana"
"151","766","IL",70,41.0052566144578,-88.8055889277108,172.00649226331,"American plum","Prunus americana"
"152","823","IL",181,41.480739,-87.662797,166.851128245476,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,182.913177550485,"peachleaf willow","Salix amygdaloides"
"154","951","IL",181,41.480739,-87.662797,166.851128245476,"American basswood","Tilia americana"
"155","972","IL",124,41.723558,-87.881037,166.793745344873,"American elm","Ulmus americana"
"156","975","IL",181,41.480739,-87.662797,166.851128245476,"slippery elm","Ulmus rubra"
"157","68","IA",48,42.819486114094,-91.2033358993289,166.569758195646,"eastern redcedar","Juniperus virginiana"
"158","122","IA",141,41.9366222212389,-92.9634374424779,172.292481248361,"ponderosa pine","Pinus ponderosa"
"159","313","IA",158,42.724547,-91.151247,163.04467925518,"boxelder maple","Acer negundo"
"160","375","IA",10,42.4108425962733,-92.9811155403727,168.506758720168,"paper birch","Betula papyrifera"
"161","462","IA",48,42.819486114094,-91.2033358993289,166.569758195646,"hackberry","Celtis occidentalis"
"162","544","IA",48,42.819486114094,-91.2033358993289,166.569758195646,"green ash","Fraxinus pennsylvanica"
"163","602","IA",107,43.191196,-91.234721,163.206457382638,"black walnut","Juglans nigra"
"164","701","IA",107,43.191196,-91.234721,163.206457382638,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",166,42.655788,-90.963619,163.932098610018,"eastern cottonwood","Populus deltoides"
"166","763","IA",135,42.4856529347826,-91.6880630652174,168.965878311041,"chokecherry","Prunus virginiana"
"167","766","IA",41,43.13594376,-92.49548144,166.278109624967,"American plum","Prunus americana"
"168","823","IA",107,43.191196,-91.234721,163.206457382638,"bur oak","Quercus macrocarpa"
"169","920","IA",202,42.21152796997,-92.479916984985,170.77930133753,"willow spp.","Salix spp."
"170","921","IA",229,41.421913,-95.642271,178.744254655127,"peachleaf willow","Salix amygdaloides"
"171","951","IA",107,43.191196,-91.234721,163.206457382638,"American basswood","Tilia americana"
"172","972","IA",220,43.491202,-91.229999,160.124905586153,"American elm","Ulmus americana"
"173","975","IA",107,43.191196,-91.234721,163.206457382638,"slippery elm","Ulmus rubra"
"174","68","MN",477,47.77650825,-90.1011548421053,126.74362968791,"eastern redcedar","Juniperus virginiana"
"175","313","MN",739,48.097855,-94.54421,131.822322580645,"boxelder maple","Acer negundo"
"176","375","MN",9096,48.057353,-90.186822,121.880911880409,"paper birch","Betula papyrifera"
"177","462","MN",1536,48.029304,-95.217647,132.396100970365,"hackberry","Celtis occidentalis"
"178","544","MN",9041,48.0848982727273,-90.2674892597403,128.03308392342,"green ash","Fraxinus pennsylvanica"
"179","602","MN",655,46.803888,-96.020692,142.206027799633,"black walnut","Juglans nigra"
"180","701","MN",702,47.9159757,-94.8548656,132.526431681091,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",591,47.1932004606742,-95.9893977752809,137.988405979544,"eastern cottonwood","Populus deltoides"
"182","763","MN",9402,48.048446,-90.109401,122.691681091004,"chokecherry","Prunus virginiana"
"183","766","MN",194,46.2533918021978,-95.4613531978022,146.490237870443,"American plum","Prunus americana"
"184","823","MN",477,47.77650825,-90.1011548421053,126.74362968791,"bur oak","Quercus macrocarpa"
"185","920","MN",1565,48.314123,-95.237002,129.478901652242,"willow spp.","Salix spp."
"186","921","MN",1062,47.6691033636364,-90.5298525454545,127.707196695515,"peachleaf willow","Salix amygdaloides"
"187","951","MN",9041,48.0848982727273,-90.2674892597403,128.03308392342,"American basswood","Tilia americana"
"188","972","MN",1160,47.90792915,-89.9902246,128.291248360871,"American elm","Ulmus americana"
"189","975","MN",146,47.8046225737705,-95.0514949672131,133.83657618673,"slippery elm","Ulmus rubra"
