"","SPCD","State","PLOT","maxSOC","geometry","Common","Species"
"102","544","IN",142,334.607482910156,c(-86.8885970212766, 40.1790884680851),"green ash","Fraxinus pennsylvanica"
"103","602","IN",142,334.607482910156,c(-86.8885970212766, 40.1790884680851),"black walnut","Juglans nigra"
"104","701","IN",20,269.582489013672,c(-85.9046619194313, 40.834957549763),"ironwood","Ostrya virginiana"
"105","701","IN",51,269.582489013672,c(-86.3199869694657, 40.6900817557252),"ironwood","Ostrya virginiana"
"106","742","IN",109,286.897521972656,c(-86.7312095096154, 39.5045879038462),"east. cottonwood","Populus deltoides"
"107","763","IN",8,249.670013427734,c(-86.4322396351351, 40.0988395608108),"chokecherry","Prunus virginiana"
"108","766","IN",20,269.582489013672,c(-85.9046619194313, 40.834957549763),"American plum","Prunus americana"
"109","823","IN",109,286.897521972656,c(-86.7312095096154, 39.5045879038462),"bur oak","Quercus macrocarpa"
"110","920","IN",228,236.869995117188,c(-85.57507265625, 39.2956270520833),"willow spp.","Salix spp."
"111","951","IN",184,298.532470703125,c(-86.1875111052632, 38.7869772631579),"basswood","Tilia americana"
"112","972","IN",142,334.607482910156,c(-86.8885970212766, 40.1790884680851),"American elm","Ulmus americana"
"113","975","IN",142,334.607482910156,c(-86.8885970212766, 40.1790884680851),"slippery elm","Ulmus rubra"
"114","68","IL",76,24487,c(-89.6920145254237, 39.7665800734463),"eastern redcedar","Juniperus virginiana"
"115","313","IL",109,27511.75,c(-89.555717452381, 39.5300081904762),"boxelder","Acer negundo"
"116","375","IL",51,16768,c(-89.7626121512195, 39.8494546731707),"paper birch","Betula papyrifera"
"117","462","IL",109,27511.75,c(-89.555717452381, 39.5300081904762),"hackberry","Celtis occidentalis"
"118","544","IL",109,27511.75,c(-89.555717452381, 39.5300081904762),"green ash","Fraxinus pennsylvanica"
"119","602","IL",109,27511.75,c(-89.555717452381, 39.5300081904762),"black walnut","Juglans nigra"
"120","701","IL",76,24487,c(-89.6920145254237, 39.7665800734463),"ironwood","Ostrya virginiana"
"121","742","IL",76,24487,c(-89.6920145254237, 39.7665800734463),"east. cottonwood","Populus deltoides"
"122","763","IL",51,16768,c(-89.7626121512195, 39.8494546731707),"chokecherry","Prunus virginiana"
"123","766","IL",70,20520,c(-88.8055889277108, 41.0052566144578),"American plum","Prunus americana"
"124","823","IL",36,23585,c(-89.3424876612903, 41.2121546774193),"bur oak","Quercus macrocarpa"
"125","921","IL",203,16261.25,c(-89.5053599840256, 39.6076065207668),"peachleaf willow","Salix amygdaloides"
"126","951","IL",109,27511.75,c(-89.555717452381, 39.5300081904762),"basswood","Tilia americana"
"127","972","IL",109,27511.75,c(-89.555717452381, 39.5300081904762),"American elm","Ulmus americana"
"128","975","IL",109,27511.75,c(-89.555717452381, 39.5300081904762),"slippery elm","Ulmus rubra"
"129","766","MN",194,41800,c(-95.4613531978022, 46.2533918021978),"American plum","Prunus americana"
