"","SPCD","State","PLOT","lat","lon","maxASR","Common","Species"
"107","921","MI",467,46.4745841578947,-88.2843346666667,459.32743509048,"peachleaf willow","Salix amygdaloides"
"108","951","MI",475,46.6367176764706,-89.4863628529412,477.754319433517,"American basswood","Tilia americana"
"109","972","MI",475,46.6367176764706,-89.4863628529412,477.754319433517,"American elm","Ulmus americana"
"110","975","MI",186,46.1202088666667,-86.5143703555556,428.218528717545,"slippery elm","Ulmus rubra"
"111","68","KS",237,37.3335285172414,-99.5372068965517,427.845455284553,"eastern redcedar","Juniperus virginiana"
"112","122","KS",250,37.9355329861111,-98.3271629722222,414.79256097561,"ponderosa pine","Pinus ponderosa"
"113","313","KS",214,39.448526556701,-99.5316465154639,421.797430894309,"boxelder maple","Acer negundo"
"114","462","KS",237,37.3335285172414,-99.5372068965517,427.845455284553,"hackberry","Celtis occidentalis"
"115","544","KS",219,39.648555,-99.728856,422.986463414634,"green ash","Fraxinus pennsylvanica"
"116","602","KS",237,37.3335285172414,-99.5372068965517,427.845455284553,"black walnut","Juglans nigra"
"117","701","KS",213,39.5170935656566,-97.7215878888889,402.626577235772,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",258,39.6333343783784,-99.849435027027,423.533154471545,"eastern cottonwood","Populus deltoides"
"119","763","KS",319,37.9877357867647,-95.0500431985294,395.118528455285,"chokecherry","Prunus virginiana"
"120","766","KS",407,37.30362,-97.761342,410.997837398374,"American plum","Prunus americana"
"121","823","KS",393,37.5322518133333,-98.76502992,420.046764227642,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,404.112894308943,"willow spp.","Salix spp."
"123","921","KS",258,39.6333343783784,-99.849435027027,423.533154471545,"peachleaf willow","Salix amygdaloides"
"124","951","KS",274,38.9197421736527,-97.5862645209581,404.228731707317,"American basswood","Tilia americana"
"125","972","KS",258,39.6333343783784,-99.849435027027,423.533154471545,"American elm","Ulmus americana"
"126","975","KS",258,39.6333343783784,-99.849435027027,423.533154471545,"slippery elm","Ulmus rubra"
"127","68","IN",186,38.4842855882353,-86.2989808823529,395.947211382114,"eastern redcedar","Juniperus virginiana"
"128","313","IN",159,38.6685869411765,-86.1807041470588,395.188455284553,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,389.606032520325,"paper birch","Betula papyrifera"
"130","462","IN",147,38.4727328709677,-86.3641280322581,395.447056910569,"hackberry","Celtis occidentalis"
"131","544","IN",159,38.6685869411765,-86.1807041470588,395.188455284553,"green ash","Fraxinus pennsylvanica"
"132","602","IN",147,38.4727328709677,-86.3641280322581,395.447056910569,"black walnut","Juglans nigra"
"133","701","IN",1,38.3822165220126,-86.2870606415094,395.161219512195,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",252,41.190936952381,-85.9588390952381,393.649795436664,"eastern cottonwood","Populus deltoides"
