"site","lat","lon"
8621,44.227092,-103.587528
8705,44.272422,-103.725255
8736,44.203368,-103.466701
8749,44.158625,-103.458567
8762,44.190556,-103.531361
8790,44.149807,-103.464541
8815,44.212649,-103.571061
8831,44.152154,-103.565773
9039,44.133113,-103.40833
9182,44.422866,-103.68997
9193,44.408927,-103.643096
9221,44.369384,-103.616182
9223,44.00222,-103.379634
9264,44.370153,-103.676952
9299,44.428884,-103.741726
9333,44.408973,-103.813615
9368,43.904686,-103.369922
9387,43.88558,-103.356395
9411,44.455627,-103.859952
9424,43.848914,-103.460346
9430,43.948301,-103.39469
9508,43.314796,-103.536874
9513,44.401039,-103.899423
9514,44.107696,-103.48639
9519,44.164445,-103.368295
9530,44.147783,-103.378932
9538,44.450232,-103.924827
9551,44.430184,-103.894594
9556,44.117343,-103.539761
9570,43.819703,-103.555113
9573,44.138367,-103.608134
9580,44.079085,-103.387985
9591,44.41891,-103.971194
9622,43.788361,-103.530636
9638,44.069697,-103.452774
9643,43.791377,-103.555136
9665,43.82627,-103.61027
9672,43.99529,-103.42835
9696,43.964207,-103.362449
9700,44.270677,-103.755747
9707,43.845695,-103.659531
9714,44.241476,-103.756121
9731,43.798534,-103.612276
9736,43.983054,-103.459495
9749,44.227517,-103.816843
9752,44.083025,-103.489827
9757,43.722921,-103.6215
9786,43.753368,-103.650393
9795,44.0351219565217,-103.681232391304
9823,44.304199,-103.915829
9835,44.090634,-103.599718
9847,44.241269,-103.641683
9871,44.081863,-103.58153
9891,43.8697103207547,-103.588779735849
9901,44.204714,-103.742714
9903,43.699655,-103.520329
9911,44.012412,-103.569119
9935,43.992723,-103.606581
9939,44.160915,-103.671624
9943,43.716276,-103.55995
9959,44.215336,-103.806614
9974,44.006628,-103.639963
9983,43.617619,-103.532078
9994,44.062138,-103.717711
9996,44.18644,-103.753623
10008,43.400689,-103.793022
10015,44.165891,-103.787771
10016,44.034301,-103.656766
10024,43.606773,-103.630954
10031,43.385467,-103.746938
10045,44.250428,-103.879396
10053,44.048748,-103.713885
10078,43.646199,-103.645582
10080,44.237005,-103.840092
10096,43.941959,-103.519456
10100,43.433793,-103.825028
10104,44.202484,-103.892316
10106,43.655297,-103.698816
10118,44.344966,-103.475862
10125,43.939863,-103.578734
10137,43.44537,-103.912738
10151,44.142473,-103.941863
10162,44.38133,-103.533696
10169,44.229157,-103.94637
10173,43.867214,-103.520227
10189,44.181392,-103.977494
10221,43.937793,-103.59862
10227,43.909968,-103.584945
10263,43.580507,-103.536006
10277,43.925841,-103.656473
10295,43.538715,-103.519537
10298,43.866334,-103.602562
10327,44.087781,-103.667953
10341,44.205111,-103.395758
10348,44.301863,-103.470079
10349,44.110982,-103.701647
10364,44.133977,-103.862986
10398,44.260374,-103.494481
10407,43.595885,-103.669382
10408,44.479948,-104.026673
10418,44.113812,-103.812808
10423,44.357484,-103.551284
10430,44.474327,-104.05517
10445,44.445788,-104.04927
10448,44.298662,-103.538571
10468,44.265852,-103.544295
