"","SPCD","State","PLOT","lat","lon","maxTC","Common","Species"
"109","972","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"American elm","Ulmus americana"
"110","975","MI",27,42.9999575507246,-84.8987454444444,28.4785601888277,"slippery elm","Ulmus rubra"
"111","68","KS",237,37.3335285172414,-99.5372068965517,34.5411644374508,"eastern redcedar","Juniperus virginiana"
"112","122","KS",250,37.9355329861111,-98.3271629722222,33.9499606608969,"ponderosa pine","Pinus ponderosa"
"113","313","KS",227,38.968893,-97.478767,34.0939339103068,"boxelder maple","Acer negundo"
"114","462","KS",237,37.3335285172414,-99.5372068965517,34.5411644374508,"hackberry","Celtis occidentalis"
"115","544","KS",254,38.4517343409091,-99.3985933181818,34.1815971675846,"green ash","Fraxinus pennsylvanica"
"116","602","KS",237,37.3335285172414,-99.5372068965517,34.5411644374508,"black walnut","Juglans nigra"
"117","701","KS",213,39.5170935656566,-97.7215878888889,33.0681431943352,"eastern hophornbeam","Ostrya virginiana"
"118","742","KS",269,37.445351,-98.16364,34.3206294256491,"eastern cottonwood","Populus deltoides"
"119","763","KS",539,39.944019,-96.980901,32.3256176239182,"chokecherry","Prunus virginiana"
"120","766","KS",407,37.30362,-97.761342,34.3455704169945,"American plum","Prunus americana"
"121","823","KS",393,37.5322518133333,-98.76502992,33.9762549173879,"bur oak","Quercus macrocarpa"
"122","920","KS",305,37.49977,-96.7380723333333,32.7324783634933,"willow spp.","Salix spp."
"123","921","KS",218,38.221752,-99.03488,34.0736191974823,"peachleaf willow","Salix amygdaloides"
"124","951","KS",274,38.9197421736527,-97.5862645209581,33.9433674272227,"American basswood","Tilia americana"
"125","972","KS",407,37.30362,-97.761342,34.3455704169945,"American elm","Ulmus americana"
"126","975","KS",260,37.7792347386364,-97.8922670909091,34.0047993705744,"slippery elm","Ulmus rubra"
"127","68","IN",2023,38.078872,-86.503565,30.8763729346971,"eastern redcedar","Juniperus virginiana"
"128","313","IN",150,38.6561033666667,-87.2896350666667,30.8876711250983,"boxelder maple","Acer negundo"
"129","375","IN",221,38.9903329166667,-86.3852737666667,29.9363493312352,"paper birch","Betula papyrifera"
"130","462","IN",174,38.610194,-87.539208375,31.1998819826908,"hackberry","Celtis occidentalis"
"131","544","IN",174,38.610194,-87.539208375,31.1998819826908,"green ash","Fraxinus pennsylvanica"
"132","602","IN",150,38.6561033666667,-87.2896350666667,30.8876711250983,"black walnut","Juglans nigra"
